Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73115,Liver,Ctnnd1mmu-sg3,rp116,0.446813372,0.286628112,0.983533286,,1,1.604682403,3.407497963
73115,Liver,Gabrr1mmu-sg1,rp116,1.66033027,1.014153834,1.032933427,,1,1.685281136,3.578647107
73115,Liver,Gata6mmu-sg3,rp116,1.006361849,0.69908044,0.908256881,,1,1.481865285,3.146699267
73115,Liver,Gpatch8mmu-sg3,rp116,0.823801149,0.632190552,0.822159492,,1,1.341393207,2.848410758
73115,Liver,Lamc1mmu-sg2,rp116,0.94068196,0.707909774,0.838390967,,1,1.367875648,2.904645477
73115,Liver,Runx1t1mmu-sg2,rp116,0.795665805,0.484129889,1.036932486,,1,1.691805795,3.592502037
73115,Liver,Tsc1mmu-sg2,rp116,0.000624266,0.167433587,0.002352388,,1,0.003838035,0.008149959
73115,Liver,Tsc2mmu-sg1,rp116,0.508115328,0.453513905,0.992378264,,1,1.153329495,1.707253464
73115,Liver,sgNT2-MMU,rp116,0.019010897,0.80934717,0.014820042,,1,0.02417962,0.051344743
73115,Liver,sgSafe19-MMU,rp116,1.993718631,1.138213266,1.105151729,,1,1.803108808,3.828850856
73115,Liver,sgSafe29-MMU,rp116,0.777295373,1.040825494,0.471183251,,1,0.768758396,1.632436838
73115,Liver,sgSafe4-MMU,rp116,1.209975099,1.01161407,0.754645966,,1,1.231241604,2.614506927
73115,Liver,Crebbpmmu-sg1,rp116,1.547078634,1.77116585,0.752505293,,1,1.023795817,1.465851671
73115,Liver,Crebbpmmu-sg2,rp116,2.55533941,1.736637897,1.04702423,,1,1.514680484,2.90806846
73115,Liver,Crebbpmmu-sg3,rp116,2.28060347,1.796058302,0.855469301,,1,1.379773556,2.626731866
73115,Liver,Ctnnd1mmu-sg2,rp116,0.497973138,0.26286303,1.195248177,,1,1.950105546,4.140994295
73115,Liver,Ctnnd1mmu-sg3,rp116,0.446813372,0.286628112,0.983533286,,1,1.604682403,3.407497963
73115,Liver,Gabrr1mmu-sg1,rp116,1.66033027,1.014153834,1.032933427,,1,1.685281136,3.578647107
73115,Liver,Gata6mmu-sg3,rp116,1.006361849,0.69908044,0.908256881,,1,1.481865285,3.146699267
73115,Liver,Gpatch8mmu-sg3,rp116,0.823801149,0.632190552,0.822159492,,1,1.341393207,2.848410758
73115,Liver,Lamc1mmu-sg2,rp116,0.94068196,0.707909774,0.838390967,,1,1.367875648,2.904645477
73115,Liver,Runx1t1mmu-sg2,rp116,0.795665805,0.484129889,1.036932486,,1,1.691805795,3.592502037
73115,Liver,Tsc1mmu-sg2,rp116,0.000624266,0.167433587,0.002352388,,1,0.003838035,0.008149959
73115,Liver,Tsc2mmu-sg1,rp116,0.508115328,0.453513905,0.992378264,,1,1.153329495,1.707253464
73115,Liver,sgNT2-MMU,rp116,0.019010897,0.80934717,0.014820042,,1,0.02417962,0.051344743
73115,Liver,sgSafe19-MMU,rp116,1.993718631,1.138213266,1.105151729,,1,1.803108808,3.828850856
73115,Liver,sgSafe29-MMU,rp116,0.777295373,1.040825494,0.471183251,,1,0.768758396,1.632436838
73115,Liver,sgSafe4-MMU,rp116,1.209975099,1.01161407,0.754645966,,1,1.231241604,2.614506927
